epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.07633,1.19008,4.20607,1.58946,0.4709,0.73001,0.57583,0.45348,0.73925,2.97622,1.20909,0.00015554,0.00015554,0.00015554
2,4.87542,0.99867,2.19228,1.39608,0.46991,0.65315,0.63765,0.40788,0.96213,2.65694,1.53105,0.000316874,0.000316874,0.000316874
3,6.71605,1.04528,1.616,1.41155,0.53346,0.57617,0.62041,0.35782,1.36128,2.3928,1.8835,0.000472708,0.000472708,0.000472708
4,8.35697,1.08748,1.40533,1.42654,0.6477,0.56297,0.61886,0.3741,1.12458,2.19386,1.76969,0.000623043,0.000623043,0.000623043
5,9.98042,1.09124,1.30394,1.42833,0.63079,0.46983,0.54841,0.30636,1.46264,2.49869,2.37052,0.000767879,0.000767879,0.000767879
6,11.686,1.11825,1.22333,1.41929,0.45443,0.46913,0.41249,0.20982,1.64664,2.93968,2.716,0.000907215,0.000907215,0.000907215
7,13.2804,1.13653,1.19366,1.43476,0.70838,0.28535,0.27379,0.1434,1.70246,4.57819,2.65739,0.00100101,0.00100101,0.00100101
8,14.9208,1.15913,1.29362,1.44254,0.46191,0.24307,0.23555,0.11323,2.37188,3.26532,3.22993,0.000982679,0.000982679,0.000982679
9,16.4551,1.153,1.2127,1.43369,0.43011,0.40645,0.41529,0.23134,1.75359,3.08082,2.55805,0.000964348,0.000964348,0.000964348
10,17.9955,1.21517,1.25354,1.53184,0.48042,0.51986,0.48075,0.23012,1.7612,3.17398,2.59359,0.000946016,0.000946016,0.000946016
11,19.5955,1.12209,1.13453,1.41598,0.44192,0.54109,0.52754,0.29404,1.59844,2.95048,2.38757,0.000927685,0.000927685,0.000927685
12,21.2154,1.16707,1.20949,1.47604,0.62484,0.60007,0.69677,0.34578,1.62177,1.6644,2.21088,0.000909353,0.000909353,0.000909353
13,22.831,1.08241,1.07791,1.39948,0.81808,0.6149,0.67798,0.38658,1.43939,1.73226,1.94381,0.000891022,0.000891022,0.000891022
